Date,Time,Round,Stadium,City,Country,HomeTeam,HomeGoals,AwayGoals,AwayTeam,Observation,Winning Team,PenalHomeScr,PenalAwayScr,PenalWinner
2-Jul-50, 15:00 ,Group 2,Ilha do Retiro,Recife,Brazil,Chile,5,2,USA, ,Chile,,,
9-Jul-50, 15:00 ,Group 6,Pacaembu,São Paulo,Brazil,Uruguay,2,2,Spain, ,Tie,,,
9-Jul-50, 15:00 ,Group 6,"Estádio Jornalista Mário Filho, Maracanã",Rio de Janeiro,Brazil,Brazil,7,1,Sweden, ,Brazil,,,
13-Jul-50, 15:00 ,Group 6,"Estádio Jornalista Mário Filho, Maracanã",Rio de Janeiro,Brazil,Brazil,6,1,Spain, ,Brazil,,,
13-Jul-50, 15:00 ,Group 6,Pacaembu,São Paulo,Brazil,Uruguay,3,2,Sweden, ,Uruguay,,,
16-Jul-50, 15:00 ,Group 6,Pacaembu,São Paulo,Brazil,Sweden,3,1,Spain, ,Sweden,,,
16-Jul-50, 15:00 ,Group 6,"Estádio Jornalista Mário Filho, Maracanã",Rio de Janeiro,Brazil,Uruguay,2,1,Brazil, ,Uruguay,,,
16-Jun-54, 18:00 ,Group 3,Wankdorf Stadium,Bern,Switzerland,Uruguay,2,0,Czechoslovakia, ,Uruguay,,,
16-Jun-54, 18:00 ,Group 3,Hardturm,Zurich,Switzerland,Austria,1,0,Scotland, ,Austria,,,
16-Jun-54, 18:00 ,Group 1,Charmilles,Geneva,Switzerland,Brazil,5,0,Mexico, ,Brazil,,,
16-Jun-54, 18:00 ,Group 1,La Pontaise,Lausanne,Switzerland,Yugoslavia,1,0,France, ,Yugoslavia,,,
17-Jun-54, 18:00 ,Group 2,Wankdorf Stadium,Bern,Switzerland,Germany FR,4,1,Turkey, ,Germany FR,,,
17-Jun-54, 18:00 ,Group 2,Hardturm,Zurich,Switzerland,Hungary,9,0,Korea Republic, ,Hungary,,,
17-Jun-54, 18:10 ,Group 4,St. Jakob,Basel,Switzerland,England,4,4,Belgium, ,Tie,,,
17-Jun-54, 17:50 ,Group 4,La Pontaise,Lausanne,Switzerland,Switzerland,2,1,Italy, ,Switzerland,,,
19-Jun-54, 16:50 ,Group 3,St. Jakob,Basel,Switzerland,Uruguay,7,0,Scotland, ,Uruguay,,,
19-Jun-54, 17:00 ,Group 3,Hardturm,Zurich,Switzerland,Austria,5,0,Czechoslovakia, ,Austria,,,
19-Jun-54, 17:10 ,Group 1,Charmilles,Geneva,Switzerland,France,3,2,Mexico, ,France,,,
19-Jun-54, 17:00 ,Group 1,La Pontaise,Lausanne,Switzerland,Brazil,1,1,Yugoslavia, ,Tie,,,
20-Jun-54, 16:50 ,Group 2,St. Jakob,Basel,Switzerland,Hungary,8,3,Germany FR, ,Hungary,,,
20-Jun-54, 17:00 ,Group 2,Charmilles,Geneva,Switzerland,Turkey,7,0,Korea Republic, ,Turkey,,,
20-Jun-54, 17:10 ,Group 4,Wankdorf Stadium,Bern,Switzerland,England,2,0,Switzerland, ,England,,,
20-Jun-54, 17:00 ,Group 4,Comunale di Cornaredo,Lugano,Switzerland,Italy,4,1,Belgium, ,Italy,,,
23-Jun-54, 18:00 ,Group 2,Hardturm,Zurich,Switzerland,Germany FR,7,2,Turkey, ,Germany FR,,,
23-Jun-54, 18:00 ,Group 4,St. Jakob,Basel,Switzerland,Switzerland,4,1,Italy, ,Switzerland,,,
26-Jun-54, 17:00 ,Quarter-finals,St. Jakob,Basel,Switzerland,Uruguay,4,2,England, ,Uruguay,,,
26-Jun-54, 17:00 ,Quarter-finals,La Pontaise,Lausanne,Switzerland,Austria,7,5,Switzerland, ,Austria,,,
27-Jun-54, 17:00 ,Quarter-finals,Charmilles,Geneva,Switzerland,Germany FR,2,0,Yugoslavia, ,Germany FR,,,
27-Jun-54, 17:00 ,Quarter-finals,Wankdorf Stadium,Bern,Switzerland,Hungary,4,2,Brazil, ,Hungary,,,
30-Jun-54, 18:00 ,Semi-finals,St. Jakob,Basel,Switzerland,Germany FR,6,1,Austria, ,Germany FR,,,
