Date,Time,Round,Stadium,City,Country,HomeTeam,HomeGoals,AwayGoals,AwayTeam,Observation,Winning Team,PenalHomeScr,PenalAwayScr,PenalWinner
14-Jun-14, 13:00 ,Group C,Estadio Mineirao,Belo Horizonte,Brazil,Colombia,3,0,Greece, ,Colombia,,,
14-Jun-14, 22:00 ,Group C,Arena Pernambuco,Recife,Brazil,Côte d'Ivoire,2,1,Japan, ,Côte d'Ivoire,,,
14-Jun-14, 16:00 ,Group D,Estadio Castelao,Fortaleza,Brazil,Uruguay,1,3,Costa Rica, ,Costa Rica,,,
14-Jun-14, 18:00 ,Group D,Arena Amazonia,Manaus,Brazil,England,1,2,Italy, ,Italy,,,
15-Jun-14, 13:00 ,Group E,Estadio Nacional,Brasília,Brazil,Switzerland,2,1,Ecuador, ,Switzerland,,,
15-Jun-14, 16:00 ,Group E,Estadio Beira-Rio,Porto Alegre,Brazil,France,3,0,Honduras, ,France,,,
15-Jun-14, 19:00 ,Group F,Estadio do Maracana,Rio de Janeiro,Brazil,Argentina,2,1,Bosnia and Herzegovina, ,Argentina,,,
16-Jun-14, 16:00 ,Group F,Arena da Baixada,Curitiba,Brazil,IR Iran,0,0,Nigeria, ,Tie,,,
16-Jun-14, 13:00 ,Group G,Arena Fonte Nova,"Salvador, Bahia",Brazil,Germany,4,0,Portugal, ,Germany,,,
16-Jun-14, 19:00 ,Group G,Estadio das Dunas,"Natal, Rio Grande do Norte",Brazil,Ghana,1,2,USA, ,USA,,,
17-Jun-14, 16:00 ,Group A,Estadio Castelao,Fortaleza,Brazil,Brazil,0,0,Mexico, ,Tie,,,
17-Jun-14, 13:00 ,Group H,Estadio Mineirao,Belo Horizonte,Brazil,Belgium,2,1,Algeria, ,Belgium,,,
17-Jun-14, 18:00 ,Group H,Arena Pantanal,Cuiabá,Brazil,Russia,1,1,Korea Republic, ,Tie,,,
